Name,Ticker,Industry,Market Capitalization ($M)
Boeing,BA,Aerospace & Defense,$118.49 
United Technologies Corp,UTX,Aerospace & Defense,$97.24 
Lockheed Martin Corp,LMT,Aerospace & Defense,$79.44 
General Dynamics Corp,GD,Aerospace & Defense,$58.28 
Raytheon,RTN,Aerospace & Defense,$46.26 
Northrop Grumman Corp,NOC,Aerospace & Defense,$44.31 
Rockwell Collins Inc,COL,Aerospace & Defense,$17.08 
Transdigm Group Inc,TDG,Aerospace & Defense,$13.72 
L3 Technologies Inc,LLL,Aerospace & Defense,$12.83 
Textron Inc,TXT,Aerospace & Defense,$12.50 
Arconic Inc,ARNC,Aerospace & Defense,$9.85 
Huntington Ingalls Industries Inc,HII,Aerospace & Defense,$8.44 
Spirit Aerosystems Inc Class A,SPR,Aerospace & Defense,$6.90 
Orbital Atk Inc,OA,Aerospace & Defense,$5.53 
Heico Corp,HEI,Aerospace & Defense,$5.35 
Bwx Technologies Inc,BWXT,Aerospace & Defense,$4.77 
Hexcel Corp,HXL,Aerospace & Defense,$4.76 
Teledyne Technologies Inc,TDY,Aerospace & Defense,$4.45 
Curtiss Wright Corp,CW,Aerospace & Defense,$4.04 
Esterline Technologies Corp,ESL,Aerospace & Defense,$2.79 
Klx Inc,KLXI,Aerospace & Defense,$2.62 
Rbc Bearings Inc,ROLL,Aerospace & Defense,$2.42 
Digitalglobe Inc,DGI,Aerospace & Defense,$2.07 
Mercury Systems Inc,MRCY,Aerospace & Defense,$2.02 
Triumph Group Inc,TGI,Aerospace & Defense,$1.58 
Aerojet Rocketdyne Holdings Inc,AJRD,Aerospace & Defense,$1.55 
Mantech International Corp Class A,MANT,Aerospace & Defense,$1.55 
American Outdoor Brands Corp,AOBC,Aerospace & Defense,$1.31 
Axon Enterprise Inc,AAXN,Aerospace & Defense,$1.29 
Cubic Corp,CUB,Aerospace & Defense,$1.24 
Aar Corp,AIR,Aerospace & Defense,$1.17 
Sturm Ruger Inc,RGR,Aerospace & Defense,$1.12 
Wesco Aircraft Holdings Inc,WAIR,Aerospace & Defense,$1.09 
Kratos Defense And Security Soluti,KTOS,Aerospace & Defense,$1.00 
Aerovironment Inc,AVAV,Aerospace & Defense,$0.94 
Astronics Corp,ATRO,Aerospace & Defense,$0.89 
