Name,Ticker,Industry,Market Capitalization ($M)
Royal Bank of Canada,RY.TO,Financial,"100,670"
TD Bank,TD.TO,Financial,"85,245"
Bank of Nova Scotia,BNS.TO,Financial,"74,605"
Suncor Energy,SU.TO,Energy,"56,670"
Bank of Montreal,BMO.TO,Financial,"46,452"
CN Railway,CNR.TO,Transportation,"46,056"
Imperial Oil,IMO.TO,Energy,"39,201"
Canadian Natural Resources,CNQ.TO,Energy,"36,280"
Enbridge,ENB.TO,Energy,"35,982"
BCE Inc,BCE.TO,Telecommunications,"35,179"
CIBC,CM.TO,Financial,"34,140"
Manulife Financial,MFC.TO,Financial,"33,419"
Thomson Reuters Corp,TRI.TO,Financial,"43,960.80"
TransCanada,TRP.TO,Energy,"32,591"
Great-West Lifeco,GWO.TO,Financial,"30,824"
Husky Energy,HSE.TO,Energy,"29,233"
Potash Corp of Saskatchewan,POT.TO,Materials,"28,615"
Brookfield Asset Management,BAM-A.TO,Real Estate,"25,683"
Rogers Communications,RCI-B.TO,Telecommunications,"24,195"
CP Railway,CP.TO,Transportation,"23,485"
Cenovus Energy,CVE.TO,Energy,"23,464"
Power Financial,PWF.TO,Financial,"23,391"
TELUS,T.TO,Telecommunications,"22,206"
Sun Life Financial,SLF.TO,Financial,"20,986"
Goldcorp,G.TO,Materials,"20,858"
Magna International,MG.TO,Industrial,"19,870"
Barrick Gold,ABX.TO,Materials,"19,553"
Crescent Point Energy,CPG.TO,Energy,"15,819"
Waste Connections Inc,WCN.TO,Industrial,"22,783.00"
National Bank of Canada,NA.TO,Financial,"14,253"
Encana,ECA.TO,Energy,"13,552"
Power Corp of Canada,POW.TO,Financial,"13,538"
Restaurant Brands International Inc,QSR.TO,Consumer Discretionary,"19,184.00"
Loblaw,L.TO,Consumer Staples,"13,525"
Agrium,AGU.TO,Materials,"13,201"
Alimentation Couche Tard,ATD-B.TO,Consumer Discretionary,"13,165"
IGM Financial,IGM.TO,Financial,"12,403"
Shaw Communications,SJR-B.TO,Consumer Staples,"11,370"
First Quantum Minerals,FM.TO,Materials,"11,285"
CGI Group,GIB-A.TO,Technology,"11,220"
George Weston,WN.TO,Consumer Staples,"10,841"
Pembina Pipeline,PPL.TO,Energy,"10,437"
Saputo,SAP.TO,Consumer Staples,"10,029"
Canadian Utilities,CU.TO,Energy,"9,649"
Fairfax Financial,FFH.TO,Financial,"9,609"
CI Financial,CIX.TO,Financial,"9,404"
Bombardier,BBD-B.TO,Industrial,"9,317"
Hydro One Ltd,H.TO,Utility,"13,720.70"
Intact Financial,IFC.TO,Financial,"8,477"
MEG Energy,MEG.TO,Energy,"7,856"
Inter Pipeline,IPL.TO,Energy,"7,844"
Wheaton Precious Metals Corp,WPM.TO,,"11,729.40"
Canadian Tire,CTC-A.TO,Consumer Discretionary,"7,722"
Yamana Gold,YRI.TO,Materials,"7,507"
Cameco,CCO.TO,Materials,"7,462"
Fortis Canada,FTS.TO,Utility,"6,799"
SNC-Lavalin Group,SNC.TO,Industrial,"6,487"
Dollarama,DOL.TO,Consumer Discretionary,"6,225"
Metro,MRU.TO,Consumer Staples,"6,031"
Kinross Gold,K.TO,Materials,"5,944"
Gildan Activewear,GIL.TO,Consumer Discretionary,"5,936"
Vermilion Energy,VET.TO,Energy,"5,814"
temp,MX.TO,Materials,"5,469"
Baytex Energy,BTE.TO,Energy,"5,406"
ATCO,ACO-X.TO,Utility,"5,390"
Empire,EMP-A.TO,Consumer Staples,"5,157"
Keyera,KEY.TO,Energy,"4,681"
