Name,Ticker,Industry,Market Capitalization ($M)
Amazon,AMZN,Consumer Discretionary,$459.56 
Home Depot,HD,Consumer Discretionary,$182.02 
Comcast,CMCSA,Consumer Discretionary,$180.20 
Disney,DIS,Consumer Discretionary,$164.50 
McDonald's,MCD,Consumer Discretionary,$124.05 
Nike,NKE,Consumer Discretionary,$95.47 
Priceline,PCLN,Consumer Discretionary,$91.68 
Starbucks,SBUX,Consumer Discretionary,$83.65 
Time Warner,TWX,Consumer Discretionary,$78.02 
Lowe's,LOW,Consumer Discretionary,$65.14 
Netflix,NFLX,Consumer Discretionary,$62.99 
GM,GM,Consumer Discretionary,$53.11 
Fox,FOXA,Consumer Discretionary,$51.88 
Fox B,FOX,Consumer Discretionary,$51.63 
Carnival,CCL,Consumer Discretionary,$46.90 
TJX,TJX,Consumer Discretionary,$46.19 
Ford,F,Consumer Discretionary,$44.84 
Marriott Intl,MAR,Consumer Discretionary,$37.51 
Target,TGT,Consumer Discretionary,$28.89 
DISH Network,DISH,Consumer Discretionary,$28.28 
CBS,CBS,Consumer Discretionary,$27.72 
Newell Brands,NWL,Consumer Discretionary,$25.86 
Yum Brands,YUM,Consumer Discretionary,$25.78 
Delphi Auto,DLPH,Consumer Discretionary,$23.33 
Royal Caribbean,RCL,Consumer Discretionary,$23.22 
VF Corp,VFC,Consumer Discretionary,$23.02 
Ross Stores,ROST,Consumer Discretionary,$22.18 
Expedia,EXPE,Consumer Discretionary,$22.18 
Dollar General,DG,Consumer Discretionary,$19.65 
O'Reilly Auto,ORLY,Consumer Discretionary,$19.64 
Omnicom,OMC,Consumer Discretionary,$19.19 
Best Buy,BBY,Consumer Discretionary,$17.76 
Ulta Beauty,ULTA,Consumer Discretionary,$17.73 
Mohawk Ind,MHK,Consumer Discretionary,$17.65 
Dollar Tree,DLTR,Consumer Discretionary,$16.50 
AutoZone,AZO,Consumer Discretionary,$15.62 
L Brands,LB,Consumer Discretionary,$15.61 
Whirlpool,WHR,Consumer Discretionary,$14.15 
Hasbro,HAS,Consumer Discretionary,$13.78 
Genuine Parts,GPC,Consumer Discretionary,$13.48 
Viacom Inc B,VIAB,Consumer Discretionary,$13.46 
Wynn Resorts,WYNN,Consumer Discretionary,$13.45 
Coach,COH,Consumer Discretionary,$13.25 
Horton D.R.,DHI,Consumer Discretionary,$12.78 
Chipotle,CMG,Consumer Discretionary,$12.01 
Carmax,KMX,Consumer Discretionary,$11.66 
Tiffany & Co,TIF,Consumer Discretionary,$11.56 
Darden Rest.,DRI,Consumer Discretionary,$11.31 
Wyndham Worldwide,WYN,Consumer Discretionary,$10.25 
LKQ Corp,LKQ,Consumer Discretionary,$10.16 
Discovery Comm,DISCK,Consumer Discretionary,$9.73 
Discovery Comm.,DISCA,Consumer Discretionary,$9.71 
Interpublic Group,IPG,Consumer Discretionary,$9.58 
Garmin,GRMN,Consumer Discretionary,$9.58 
Harley-Davidson,HOG,Consumer Discretionary,$9.38 
Under Armour-C,UA,Consumer Discretionary,$9.11 
Under Armour A,UAA,Consumer Discretionary,$9.08 
PVH Corp,PVH,Consumer Discretionary,$8.93 
Borgwarner,BWA,Consumer Discretionary,$8.91 
Goodyear Tire,GT,Consumer Discretionary,$8.77 
Scripps Networks,SNI,Consumer Discretionary,$8.71 
Gap,GPS,Consumer Discretionary,$8.64 
Advance Auto Parts,AAP,Consumer Discretionary,$8.56 
Hanesbrands,HBI,Consumer Discretionary,$8.46 
News Corp,NWSA,Consumer Discretionary,$7.86 
Pulte Group,PHM,Consumer Discretionary,$7.59 
Mattel,MAT,Consumer Discretionary,$7.36 
Macy's,M,Consumer Discretionary,$6.96 
Tractor Supply Co,TSCO,Consumer Discretionary,$6.91 
Leggett & Platt,LEG,Consumer Discretionary,$6.87 
Staples,SPLS,Consumer Discretionary,$6.68 
Kohl's,KSS,Consumer Discretionary,$6.54 
Block H & R,HRB,Consumer Discretionary,$6.50 
Foot Locker,FL,Consumer Discretionary,$6.45 
Ralph Lauren,RL,Consumer Discretionary,$6.01 
Michael Kors,KORS,Consumer Discretionary,$5.61 
TripAdvisor,TRIP,Consumer Discretionary,$5.43 
Bed Bath & Beyond,BBBY,Consumer Discretionary,$4.42 
Signet Jewelers,SIG,Consumer Discretionary,$4.38 
AutoNation,AN,Consumer Discretionary,$4.31 
TEGNA,TGNA,Consumer Discretionary,$3.07 
Five Below,FIVE,Consumer Discretionary,$2.35 
