Name,Ticker,Industry,Market Capitalization ($M)
Wal-Mart Stores,WMT,Consumer Staples,$228.05 
Procter & Gamble,PG,Consumer Staples,$219.42 
Coca-Cola Co,KO,Consumer Staples,$190.36 
Philip Morris International,PM,Consumer Staples,$180.73 
PepsiCo Inc,PEP,Consumer Staples,$163.73 
Altria Group Inc,MO,Consumer Staples,$141.29 
Walgreens Boots Alliance Inc,WBA,Consumer Staples,$85.18 
CVS Health Corporation,CVS,Consumer Staples,$80.41 
Costco Wholesale Corp,COST,Consumer Staples,$69.09 
Colgate-Palmolive Co,CL,Consumer Staples,$64.73 
Mondelez International Inc,MDLZ,Consumer Staples,$64.13 
Kimberly-Clark,KMB,Consumer Staples,$45.12 
Constellation Brands Inc A,STZ,Consumer Staples,$39.93 
Estee Lauder Cos. A,EL,Consumer Staples,$34.89 
General Mills Inc,GIS,Consumer Staples,$30.99 
Monster Beverage Corp New,MNST,Consumer Staples,$28.34 
Sysco Corp,SYY,Consumer Staples,$26.89 
Kellogg Co,K,Consumer Staples,$24.04 
Archer-Daniels-Midland Co,ADM,Consumer Staples,$23.08 
Hershey Foods Corp,HSY,Consumer Staples,$22.70 
Tyson Foods Inc A,TSN,Consumer Staples,$22.40 
Kroger Co,KR,Consumer Staples,$20.90 
Hormel Foods Corp,HRL,Consumer Staples,$17.88 
Clorox Co,CLX,Consumer Staples,$16.81 
Dr Pepper Snapple Group,DPS,Consumer Staples,$16.55 
Campbell Soup Co,CPB,Consumer Staples,$15.61 
"Conagra Brands, Inc",CAG,Consumer Staples,$14.66 
Coty Inc.,COTY,Consumer Staples,$14.12 
Whole Foods Market Inc,WFM,Consumer Staples,$13.42 
Smucker J.M. Co,SJM,Consumer Staples,$13.18 
Church & Dwight Co,CHD,Consumer Staples,$12.75 
McCormick & Co,MKC,Consumer Staples,$11.71 
