Name,Ticker,Industry,Market Capitalization ($M)
Exxon Mobil Corp,XOM,Energy,$339.35 
Chevron Corp,CVX,Energy,$196.90 
Schlumberger Ltd,SLB,Energy,$91.15 
ConocoPhillips,COP,Energy,$54.48 
EOG Resources,EOG,Energy,$52.46 
Occidental Petroleum,OXY,Energy,$45.92 
Kinder Morgan Inc,KMI,Energy,$42.51 
Phillips 66,PSX,Energy,$42.69 
Halliburton Co,HAL,Energy,$37.18 
Anadarko Petroleum Corp,APC,Energy,$26.20 
Valero Energy Corp,VLO,Energy,$29.97 
Pioneer Natural Resources,PXD,Energy,$27.52 
Marathon Petroleum Corp.,MPC,Energy,$26.60 
Baker Hughes Inc,BHI,Energy,$23.00 
The Williams Companies Inc,WMB,Energy,$24.91 
Devon Energy Corp,DVN,Energy,$17.34 
Concho Resources Inc,CXO,Energy,$18.35 
Apache Corp,APA,Energy,$18.30 
Hess Corp,HES,Energy,$14.14 
Noble Energy Inc,NBL,Energy,$14.16 
National Oilwell Varco Inc,NOV,Energy,$12.71 
Marathon Oil Corp,MRO,Energy,$10.25 
Cimarex Energy Co,XEC,Energy,$9.00 
ONEOK Inc,OKE,Energy,$11.09 
Cabot Oil & Gas A,COG,Energy,$11.81 
EQT Corporation,EQT,Energy,$10.27 
Tesoro Corp,TSO,Energy,$14.81 
Diamondback,FANG,Energy,$8.70 
Newfield Exploration Co,NFX,Energy,$5.87 
Range Resources Corp,RRC,Energy,$5.97 
Helmerich & Payne Inc,HP,Energy,$6.00 
Chesapeake Energy Corp,CHK,Energy,$4.59 
Murphy Oil Corp,MUR,Energy,$4.57 
Transocean Ltd,RIG,Energy,$3.28 
