Name,Ticker,Industry,Market Capitalization ($M)
JP Morgan Chase & Co,JPM,Financial,$329.75 
Wells Fargo & Co,WFC,Financial,$284.70 
Bank of America Corp,BAC,Financial,$246.69 
Citigroup Inc,C,Financial,$189.83 
Goldman Sachs Group Inc,GS,Financial,$88.32 
US Bancorp,USB,Financial,$87.26 
Morgan Stanley,MS,Financial,$83.32 
American Express Co,AXP,Financial,$75.04 
BlackRock Inc,BLK,Financial,$67.91 
Chubb Limited,CB,Financial,$67.43 
PNC Finl Services Group,PNC,Financial,$61.40 
Schwab Charles Corp,SCHW,Financial,$57.67 
American Intl Group Inc,AIG,Financial,$57.25 
The Bank of New York Mellon Corp,BK,Financial,$53.50 
Prudential Financial Inc,PRU,Financial,$47.17 
CME Group Inc A,CME,Financial,$41.95 
Marsh & McLennan Companies,MMC,Financial,$39.55 
Intercontinental Exchange Inc,ICE,Financial,$38.99 
Capital One Financial,COF,Financial,$38.94 
BB&T Corp,BBT,Financial,$37.54 
S&P Global Inc,SPGI,Financial,$36.93 
Travelers Cos Inc,TRV,Financial,$34.87 
Aon plc,AON,Financial,$34.81 
State Street Corp,STT,Financial,$33.72 
Allstate Corp,ALL,Financial,$32.05 
AFLAC Inc,AFL,Financial,$30.50 
SunTrust Banks Inc (GA),STI,Financial,$27.73 
Progressive Corp,PGR,Financial,$25.41 
Franklin Resources Inc,BEN,Financial,$24.95 
Synchrony Financial,SYF,Financial,$23.89 
Discover Financial Services,DFS,Financial,$23.39 
Moody's Corp,MCO,Financial,$23.08 
Northern Trust Corp (IL),NTRS,Financial,$22.43 
KeyCorp,KEY,Financial,$20.88 
Fifth Third Bancorp (OH),FITB,Financial,$19.87 
Willis Towers Watson PLC,WLTW,Financial,$19.72 
Ameriprise Financial Inc,AMP,Financial,$19.42 
Hartford Finl Services Group,HIG,Financial,$19.26 
Principal Financial Group,PFG,Financial,$18.54 
Regions Financial Corp,RF,Financial,$18.27 
Citizens Financial Group Inc,CFG,Financial,$18.18 
T Rowe Price Group Inc,TROW,Financial,$17.73 
Loews Corp,L,Financial,$15.68 
Lincoln National Corp,LNC,Financial,$15.24 
Huntington Bancshares (OH),HBAN,Financial,$14.98 
Invesco Ltd,IVZ,Financial,$14.21 
Comerica Inc (MI),CMA,Financial,$13.10 
Cincinnati Financial Corp,CINF,Financial,$11.93 
Nasdaq Inc,NDAQ,Financial,$11.86 
Raymond James Financial Inc,RJF,Financial,$11.54 
Unum Group,UNM,Financial,$10.63 
E*TRADE Financial Corp,ETFC,Financial,$10.43 
CBOE Holdings Inc,CBOE,Financial,$10.31 
Gallagher Arthur J. & Co,AJG,Financial,$10.21 
Leucadia National Corp (NY),LUK,Financial,$9.40 
Affiliated Managers Grp,AMG,Financial,$9.39 
Zions Bancorp (UT),ZION,Financial,$9.06 
Torchmark Corp,TMK,Financial,$8.89 
People's United Financial Inc,PBCT,Financial,$6.16 
Assurant Inc,AIZ,Financial,$5.69 
Navient Corp,NAVI,Financial,$4.65 
