Name,Ticker,Industry,Market Capitalization ($M)
Johnson & Johnson,JNJ,Healthcare,$353.76 
Pfizer Inc,PFE,Healthcare,$199.59 
Merck & Co Inc,MRK,Healthcare,$173.13 
Unitedhealth Group Inc,UNH,Healthcare,$177.94 
Amgen Inc,AMGN,Healthcare,$125.69 
Medtronic plc,MDT,Healthcare,$120.56 
AbbVie Inc.,ABBV,Healthcare,$114.79 
Bristol-Myers Squibb,BMY,Healthcare,$92.09 
Celgene Corp,CELG,Healthcare,$99.50 
Lilly Eli & Co,LLY,Healthcare,$90.52 
Gilead Sciences Inc,GILD,Healthcare,$91.01 
Allergan plc,AGN,Healthcare,$81.96 
Abbott Laboratories,ABT,Healthcare,$85.05 
Thermo Fisher Scientific,TMO,Healthcare,$67.43 
Danaher Corp,DHR,Healthcare,$59.24 
Biogen Inc,BIIB,Healthcare,$56.69 
Stryker Corp,SYK,Healthcare,$51.64 
Anthem Inc,ANTM,Healthcare,$49.46 
Aetna Inc,AET,Healthcare,$50.31 
Regeneron Pharmaceuticals Inc,REGN,Healthcare,$52.27 
Becton Dickinson & Co,BDX,Healthcare,$43.80 
Cigna Corporation,CI,Healthcare,$42.36 
Boston Scientific Corp,BSX,Healthcare,$37.46 
Express Scripts Holding Co.,ESRX,Healthcare,$37.92 
Humana Inc,HUM,Healthcare,$34.71 
HCA Holdings Inc,HCA,Healthcare,$31.94 
Intuitive Surgical Inc,ISRG,Healthcare,$33.93 
Baxter Intl Inc,BAX,Healthcare,$32.61 
Alexion Pharmaceuticals Inc,ALXN,Healthcare,$26.72 
McKesson Corp,MCK,Healthcare,$34.19 
Vertex Pharmaceuticals Inc,VRTX,Healthcare,$31.04 
Zoetis Inc,ZTS,Healthcare,$30.44 
Illumina Inc,ILMN,Healthcare,$25.03 
Incyte Corp,INCY,Healthcare,$24.80 
Edwards Lifesciences Corp,EW,Healthcare,$24.59 
Cardinal Health Inc,CAH,Healthcare,$24.38 
Zimmer Biomet Holdings Inc,ZBH,Healthcare,$25.73 
Bard C.R. Inc,BCR,Healthcare,$22.85 
Cerner Corp,CERN,Healthcare,$21.61 
Mylan NV,MYL,Healthcare,$20.78 
AmerisourceBergen Corp,ABC,Healthcare,$20.47 
Agilent Technologies Inc,A,Healthcare,$18.83 
IDEXX Laboratories Inc,IDXX,Healthcare,$13.88 
Dentsply Sirona Inc.,XRAY,Healthcare,$14.67 
Lab Corp of America Hldgs,LH,Healthcare,$15.59 
Quest Diagnostics,DGX,Healthcare,$15.09 
Schein Henry Inc,HSIC,Healthcare,$14.37 
Waters Corp,WAT,Healthcare,$14.60 
DaVita Inc,DVA,Healthcare,$12.50 
Mettler-Toledo Intl,MTD,Healthcare,$14.87 
Centene Corp,CNC,Healthcare,$13.53 
Hologic Inc,HOLX,Healthcare,$12.62 
Universal Health Services B,UHS,Healthcare,$11.94 
Perrigo Company plc,PRGO,Healthcare,$10.89 
Cooper Companies Inc,COO,Healthcare,$11.48 
Varian Medical Systems Inc,VAR,Healthcare,$9.55 
PerkinElmer Inc,PKI,Healthcare,$7.44 
Mallinckrodt plc,MNK,Healthcare,$4.37 
Patterson Cos Inc,PDCO,Healthcare,$4.52 
