Name,Ticker,Industry,Market Capitalization ($M)
General Electric Co,GE,Industrial,$233.34 
3M Co,MMM,Industrial,$122.62 
Boeing Co,BA,Industrial,$118.42 
Honeywell Intl Inc,HON,Industrial,$100.26 
United Technologies Corp,UTX,Industrial,$97.14 
United Parcel Service Inc B,UPS,Industrial,$95.30 
Union Pacific Corp,UNP,Industrial,$86.90 
Lockheed Martin,LMT,Industrial,$79.46 
Caterpillar Inc,CAT,Industrial,$62.52 
General Dynamics,GD,Industrial,$58.27 
FedEx Corp,FDX,Industrial,$57.58 
CSX Corporation,CSX,Industrial,$49.46 
Illinois Tool Works Inc,ITW,Industrial,$48.73 
Raytheon Co,RTN,Industrial,$46.21 
Northrop Grumman Corp,NOC,Industrial,$44.32 
Johnson Controls International plc,JCI,Industrial,$39.92 
Deere & Co,DE,Industrial,$38.74 
Emerson Electric Co,EMR,Industrial,$37.78 
Southwest Airlines Co,LUV,Industrial,$37.56 
Norfolk Southern Corp,NSC,Industrial,$34.58 
Eaton Corp plc,ETN,Industrial,$34.28 
Waste Management Inc,WM,Industrial,$32.16 
American Airlines Group Inc.,AAL,Industrial,$24.90 
"Roper Technologies, Inc",ROP,Industrial,$23.33 
Ingersoll-Rand Plc,IR,Industrial,$23.06 
United Continental Holding Inc,UAL,Industrial,$23.06 
PACCAR Inc,PCAR,Industrial,$23.01 
Fortive Corp,FTV,Industrial,$21.28 
Stanley Black & Decker,SWK,Industrial,$21.28 
Republic Services Inc,RSG,Industrial,$21.25 
Parker-Hannifin Corp,PH,Industrial,$21.11 
Rockwell Automation Inc,ROK,Industrial,$20.55 
Rockwell Collins,COL,Industrial,$17.07 
Equifax Inc,EFX,Industrial,$16.23 
Verisk Analytics Inc,VRSK,Industrial,$13.85 
Nielsen Holdings plc,NLSN,Industrial,$13.78 
TransDigm Group,TDG,Industrial,$13.72 
Cintas Corp,CTAS,Industrial,$13.03 
"L3 Technologies, Inc",LLL,Industrial,$12.83 
Fastenal Co,FAST,Industrial,$12.58 
Textron Inc,TXT,Industrial,$12.49 
Dover Corp,DOV,Industrial,$12.41 
Masco Corp,MAS,Industrial,$11.98 
Pentair PLC,PNR,Industrial,$11.96 
Alaska Air Group Inc,ALK,Industrial,$11.19 
Kansas City Southern Inc,KSU,Industrial,$10.98 
Grainger W.W. Inc,GWW,Industrial,$10.61 
Expeditors Intl of WA Inc,EXPD,Industrial,$10.07 
Hunt J.B. Transport Services,JBHT,Industrial,$9.95 
Fortune Brands Home & Security Inc,FBHS,Industrial,$9.94 
Xylem Inc,XYL,Industrial,$9.92 
Arconic Inc,ARNC,Industrial,$9.83 
Acuity Brands Inc,AYI,Industrial,$9.78 
CH Robinson Worldwide Inc,CHRW,Industrial,$9.64 
United Rentals Inc,URI,Industrial,$9.59 
Allegion plc,ALLE,Industrial,$7.55 
Stericycle Inc,SRCL,Industrial,$6.47 
Fluor Corp,FLR,Industrial,$6.34 
Flowserve Corp,FLS,Industrial,$6.07 
Robert Half Intl Inc,RHI,Industrial,$6.06 
Quanta Services Inc,PWR,Industrial,$4.91 
3D Systems,DDD,Industrial,$2.14 
Proto Labs,PRLB,Industrial,$1.72 
Stratasys,SSYS,Industrial,$1.27 
