Name,Ticker,Industry,Market Capitalization ($M)
Dow Chemical,DOW,Materials,$76.32 
E. I. du Pont de Nemours and Company,DD,Materials,$69.23 
Ecolab Inc,ECL,Materials,$38.06 
LyondellBasell Industries N.V.,LYB,Materials,$34.01 
Sherwin-Williams Co,SHW,Materials,$32.08 
Air Products & Chemicals Inc,APD,Materials,$30.33 
PPG Industries Inc,PPG,Materials,$27.74 
Intl Paper Co,IP,Materials,$23.22 
Nucor Corp,NUE,Materials,$18.65 
Freeport-McMoRan Inc,FCX,Materials,$17.56 
Newmont Mining Corp,NEM,Materials,$16.84 
Vulcan Materials Co,VMC,Materials,$16.44 
Ball Corp,BLL,Materials,$14.70 
WestRock Co,WRK,Materials,$14.10 
Eastman Chemical Co,EMN,Materials,$12.10 
Albemarle Corp,ALB,Materials,$11.46 
Intl Flavors & Fragrances,IFF,Materials,$10.47 
FMC Corp,FMC,Materials,$9.46 
Sealed Air Corp,SEE,Materials,$8.68 
Avery Dennison Corp,AVY,Materials,$7.80 
CF Industries Holdings,CF,Materials,$6.44 
