Name,Ticker,Industry,Market Capitalization ($M)
Nucor Corporation,NUE,Mining,$18.65 
Freeport-McMoRan Inc.,FCX,Mining,$17.61 
Newmont Mining Corporation,NEM,Mining,$16.87 
Steel Dynamics Inc.,STLD,Mining,$8.81 
Reliance Steel & Aluminum Co.,RS,Mining,$5.38 
Royal Gold Inc.,RGLD,Mining,$5.00 
United States Steel Corporation,X,Mining,$3.95 
CONSOL Energy Inc.,CNX,Mining,$3.50 
Worthington Industries Inc.,WOR,Mining,$3.25 
Commercial Metals Company,CMC,Mining,$2.29 
Compass Minerals International Inc.,CMP,Mining,$2.21 
AK Steel Holding Corporation,AKS,Mining,$2.11 
Cliffs Natural Resources Inc.,CLF,Mining,$2.05 
Hecla Mining Company,HL,Mining,$1.97 
Carpenter Technology Corporation,CRS,Mining,$1.76 
Arch Coal Inc Class A,ARCH,Mining,$1.70 
Kaiser Aluminum Corporation,KALU,Mining,$1.53 
Coeur Mining Inc.,CDE,Mining,$1.52 
Century Aluminum Company,CENX,Mining,$1.34 
Materion Corporation,MTRN,Mining,$0.75 
TimkenSteel Corp,TMST,Mining,$0.71 
SunCoke Energy Inc.,SXC,Mining,$0.70 
Schnitzer Steel Industries Inc. Class A,SCHN,Mining,$0.68 
Haynes International Inc.,HAYN,Mining,$0.46 
