Name,Ticker,Industry,Market Capitalization ($M)
American Tower Reit Corp,AMT,Real Estate,$56.54 
Simon Property Group Reit Inc,SPG,Real Estate,$49.88 
Crown Castle International Reit Co,CCI,Real Estate,$36.62 
Public Storage Reit,PSA,Real Estate,$35.83 
Equinix Reit Inc,EQIX,Real Estate,$32.82 
Welltower Inc,HCN,Real Estate,$26.60 
Avalonbay Communities Reit Inc,AVB,Real Estate,$26.43 
Weyerhaeuser Reit,WY,Real Estate,$25.08 
Equity Residential Reit,EQR,Real Estate,$24.24 
Ventas Reit Inc,VTR,Real Estate,$24.00 
Ggp Inc,GGP,Real Estate,$20.44 
Boston Properties Reit Inc,BXP,Real Estate,$18.91 
Digital Realty Trust Reit Inc Trus,DLR,Real Estate,$17.68 
Vornado Realty Trust Reit Trust,VNO,Real Estate,$17.65 
Essex Property Trust Reit Inc Trus,ESS,Real Estate,$17.00 
Sba Communications Reit Corp Class,SBAC,Real Estate,$16.32 
Realty Income Reit Corp,O,Real Estate,$14.82 
Hcp Reit Inc,HCP,Real Estate,$14.61 
Host Hotels & Resorts Reit Inc,HST,Real Estate,$13.44 
Cbre Group Inc Class A,CBG,Real Estate,$12.16 
Annaly Capital Management Reit Inc,NLY,Real Estate,$12.14 
Mid America Apartment Communities,MAA,Real Estate,$11.89 
Alexandria Real Estate Equities Re,ARE,Real Estate,$10.83 
Sl Green Realty Reit Corp,SLG,Real Estate,$10.77 
Regency Centers Reit Corp,REG,Real Estate,$10.64 
Udr Reit Inc,UDR,Real Estate,$10.48 
Duke Realty Reit Corp,DRE,Real Estate,$9.84 
Extra Space Storage Reit Inc,EXR,Real Estate,$9.69 
Federal Realty Investment Trust Re,FRT,Real Estate,$9.10 
Iron Mountain Inc,IRM,Real Estate,$9.03 
Macerich Reit,MAC,Real Estate,$8.17 
Colony Northstar Inc Class A,CLNS,Real Estate,$7.77 
Gaming And Leisure Properties Reit,GLPI,Real Estate,$7.74 
Kimco Realty Reit Corp,KIM,Real Estate,$7.72 
Camden Property Trust Reit Trust,CPT,Real Estate,$7.52 
Agnc Investment Reit Corp,AGNC,Real Estate,$7.49 
Kilroy Realty Reit Corp,KRC,Real Estate,$7.32 
Apartment Investment And Managemen,AIV,Real Estate,$6.73 
