Name,Ticker,Industry,Market Capitalization ($M)
Amazon.com Inc.,AMZN,Retail,$459.66 
Wal-Mart Stores Inc.,WMT,Retail,$228.14 
Priceline Group Inc,PCLN,Retail,$91.90 
Walgreens Boots Alliance Inc,WBA,Retail,$85.19 
CVS Health Corporation,CVS,Retail,$80.36 
Costco Wholesale Corporation,COST,Retail,$69.08 
Netflix Inc.,NFLX,Retail,$62.99 
TJX Companies Inc,TJX,Retail,$46.22 
Target Corporation,TGT,Retail,$28.91 
Ross Stores Inc.,ROST,Retail,$22.23 
Expedia Inc.,EXPE,Retail,$22.21 
Kroger Co.,KR,Retail,$20.90 
Dollar General Corporation,DG,Retail,$19.69 
O'Reilly Automotive Inc.,ORLY,Retail,$19.68 
Best Buy Co. Inc.,BBY,Retail,$17.78 
Ulta Beauty Inc,ULTA,Retail,$17.72 
Dollar Tree Inc.,DLTR,Retail,$16.51 
L Brands Inc.,LB,Retail,$15.65 
AutoZone Inc.,AZO,Retail,$15.64 
Liberty Interactive Corporation QVC Group Class A,QVCA,Retail,$15.41 
Whole Foods Market Inc.,WFM,Retail,$13.42 
CarMax Inc.,KMX,Retail,$11.63 
Tiffany & Co.,TIF,Retail,$11.57 
Gap Inc.,GPS,Retail,$8.65 
Advance Auto Parts Inc.,AAP,Retail,$8.56 
Nordstrom Inc.,JWN,Retail,$7.95 
Macy's Inc,M,Retail,$6.97 
Tractor Supply Company,TSCO,Retail,$6.96 
Staples Inc.,SPLS,Retail,$6.68 
Kohl's Corporation,KSS,Retail,$6.55 
Foot Locker Inc.,FL,Retail,$6.48 
Burlington Stores Inc.,BURL,Retail,$6.47 
Wayfair Inc. Class A,W,Retail,$6.41 
TripAdvisor Inc.,TRIP,Retail,$5.45 
Signet Jewelers Limited,SIG,Retail,$4.39 
Dick's Sporting Goods Inc.,DKS,Retail,$4.38 
AutoNation Inc.,AN,Retail,$4.31 
Liberty Interactive Corporation Ventures Series A,LVNTA,Retail,$4.21 
Cabela's Incorporated,CAB,Retail,$4.20 
Casey's General Stores Inc.,CASY,Retail,$4.17 
Penske Automotive Group Inc.,PAG,Retail,$3.77 
Michaels Companies Inc,MIK,Retail,$3.45 
Sprouts Farmers Markets Inc.,SFM,Retail,$3.14 
Office Depot Inc.,ODP,Retail,$2.92 
Sally Beauty Holdings Inc.,SBH,Retail,$2.78 
Murphy USA Inc.,MUSA,Retail,$2.72 
Five Below Inc.,FIVE,Retail,$2.70 
PriceSmart Inc.,PSMT,Retail,$2.68 
Camping World Holdings Inc. Class A,CWH,Retail,$2.59 
Ollie's Bargain Outlet Holdings Inc,OLLI,Retail,$2.58 
Lithia Motors Inc. Class A,LAD,Retail,$2.38 
Groupon Inc.,GRPN,Retail,$2.23 
GameStop Corp. Class A,GME,Retail,$2.21 
Urban Outfitters Inc.,URBN,Retail,$2.20 
American Eagle Outfitters Inc.,AEO,Retail,$2.18 
Big Lots Inc.,BIG,Retail,$2.16 
Rite Aid Corporation,RAD,Retail,$2.14 
Children's Place Inc.,PLCE,Retail,$1.84 
Dillard's Inc. Class A,DDS,Retail,$1.79 
Etsy Inc.,ETSY,Retail,$1.73 
HSN Inc.,HSNI,Retail,$1.64 
Shutterfly Inc.,SFLY,Retail,$1.61 
