Name,Ticker,Industry,Market Capitalization ($M)
Apple Inc.,AAPL,Technology,$742.76 
Alphabet Inc.,GOOGL,Technology,$625.82 
Alphabet Inc.,GOOG,Technology,$625.56 
Microsoft Corporation,MSFT,Technology,$522.87 
Amazon,AMZN,Technology,$460.79 
Alibaba,BABA,Technology,$213.49 
"Facebook, Inc.",FB,Technology,$432.17 
Visa,V,Technology,$213.49 
Oracle Corporation,ORCL,Technology,$205.29 
Taiwan Semiconductor Manufacturing Company Ltd.,TSM,Technology,$176.33 
Intel Corporation,INTC,Technology,$155.89 
"Cisco Systems, Inc.",CSCO,Technology,$153.85 
International Business Machines Corporation,IBM,Technology,$143.46 
SAP SE,SAP,Technology,$129.95 
Mastercard,MA,Technology,$127.47 
Broadcom Limited,AVGO,Technology,$90.97 
NVIDIA Corporation,NVDA,Technology,$83.77 
QUALCOMM Incorporated,QCOM,Technology,$80.28 
Texas Instruments Incorporated,TXN,Technology,$75.78 
Adobe Systems Incorporated,ADBE,Technology,$68.90 
Paypal,PYPL,Technology,$63.82 
"Baidu, Inc.",BIDU,Technology,$62.72 
Salesforce.com Inc,CRM,Technology,$60.99 
Tesla,TSLA,Technology,$57.89 
"Automatic Data Processing, Inc.",ADP,Technology,$45.33 
"Applied Materials, Inc.",AMAT,Technology,$43.29 
"Activision Blizzard, Inc",ATVI,Technology,$42.56 
Cognizant Technology Solutions Corporation,CTSH,Technology,$38.68 
NXP Semiconductors N.V.,NXPI,Technology,$37.61 
eBay,EBAY,Technology,$36.83 
"Vmware, Inc.",VMW,Technology,$34.68 
Nokia Corporation,NOK,Technology,$34.62 
"Eaton Corporation, PLC",ETN,Technology,$34.28 
Intuit Inc.,INTU,Technology,$33.68 
Infosys Limited,INFY,Technology,$33.39 
"Micron Technology, Inc.",MU,Technology,$32.62 
Electronic Arts Inc.,EA,Technology,$32.39 
HP Inc.,HPQ,Technology,$28.82 
"Analog Devices, Inc.",ADI,Technology,$28.05 
Hewlett Packard Enterprise Company,HPE,Technology,$27.40 
"Fiserv, Inc.",FISV,Technology,$25.54 
Western Digital Corporation,WDC,Technology,$25.42 
Illumina,ILMN,Technology,$25.04 
Ericsson,ERIC,Technology,$23.21 
DXC Technology Company,DXC,Technology,$22.36 
Lam Research Corporation,LRCX,Technology,$22.09 
"Autodesk, Inc.",ADSK,Technology,$21.78 
Cerner Corporation,CERN,Technology,$21.61 
Snap Inc.,SNAP,Technology,$21.18 
Paychex,PAYX,Technology,$20.16 
"Workday, Inc.",WDAY,Technology,$19.72 
Wipro Limited,WIT,Technology,$19.71 
Omnicom Group Inc.,OMC,Technology,$19.18 
Check Point Software Technologies Ltd.,CHKP,Technology,$17.76 
"ServiceNow, Inc.",NOW,Technology,$17.54 
"Skyworks Solutions, Inc.",SWKS,Technology,$17.33 
IHS Markit Ltd.,INFO,Technology,$17.31 
Microchip Technology Incorporated,MCHP,Technology,$17.18 
"Red Hat, Inc.",RHT,Technology,$16.88 
Symantec Corporation,SYMC,Technology,$16.74 
"Xilinx, Inc.",XLNX,Technology,$15.55 
CA Inc.,CA,Technology,$14.28 
Weibo Corporation,WB,Technology,$14.18 
"Motorola Solutions, Inc.",MSI,Technology,$14.00 
"Verisk Analytics, Inc.",VRSK,Technology,$13.80 
"Twitter, Inc.",TWTR,Technology,$12.87 
"L3 Technologies, Inc.",LLL,Technology,$12.84 
STMicroelectronics N.V.,STM,Technology,$12.62 
"Maxim Integrated Products, Inc.",MXIM,Technology,$12.46 
Dover Corporation,DOV,Technology,$12.41 
Square,SQ,Technology,$12.00 
"Palo Alto Networks, Inc.",PANW,Technology,$12.23 
Pentair plc.,PNR,Technology,$11.96 
Align Technology,ALGN,Technology,$11.83 
"Citrix Systems, Inc.",CTXS,Technology,$11.81 
"Advanced Micro Devices, Inc.",AMD,Technology,$11.26 
Gartner,IT,Technology,$11.12 
Seagate Technology PLC,STX,Technology,$11.09 
"NetApp, Inc.",NTAP,Technology,$10.83 
"Synopsys, Inc.",SNPS,Technology,$10.79 
"Advanced Semiconductor Engineering, Inc.",ASX,Technology,$10.54 
"Juniper Networks, Inc.",JNPR,Technology,$10.52 
"Arista Networks, Inc.",ANET,Technology,$10.48 
"ANSYS, Inc.",ANSS,Technology,$10.22 
"VeriSign, Inc.",VRSN,Technology,$9.44 
Amdocs Limited,DOX,Technology,$9.35 
"Cadence Design Systems, Inc.",CDNS,Technology,$9.23 
Akamai Tech,AKAM,Technology,$8.52 
Veeva Systems Inc.,VEEV,Technology,$8.46 
Open Text Corporation,OTEX,Technology,$8.22 
Marvell Technology Group Ltd.,MRVL,Technology,$8.20 
"F5 Networks, Inc.",FFIV,Technology,$8.14 
Splunk Inc.,SPLK,Technology,$8.03 
"Jack Henry & Associates, Inc.",JKHY,Technology,$7.98 
"Qorvo, Inc.",QRVO,Technology,$7.91 
Aercap Holdings N.V.,AER,Technology,$7.82 
"Leidos Holdings, Inc.",LDOS,Technology,$7.77 
"SS&C Technologies Holdings, Inc.",SSNC,Technology,$7.73 
IPG Photonics Corporation,IPGP,Technology,$7.71 
ManpowerGroup,MAN,Technology,$7.58 
"Take-Two Interactive Software, Inc.",TTWO,Technology,$7.53 
"CommScope Holding Company, Inc.",COMM,Technology,$7.23 
Shopify Inc.,SHOP,Technology,$7.18 
