Name,Ticker,Industry,Market Capitalization ($M)
AT&T Inc,T,Telecom,$229.55 
Verizon Communications Inc,VZ,Telecom,$179.75 
T Mobile Us Inc,TMUS,Telecom,$50.10 
Level Communications Inc,LVLT,Telecom,$21.17 
Centurylink Inc,CTL,Telecom,$12.88 
United States Cellular Corp,USM,Telecom,$3.17 
Telephone And Data Systems Inc,TDS,Telecom,$2.98 
Globalstar Voting Inc,GSAT,Telecom,$2.00 
Shenandoah Telecommunications,SHEN,Telecom,$1.47 
Frontier Communications Corp,FTR,Telecom,$1.40 
Vonage Holdings Corp,VG,Telecom,$1.40 
General Communications Inc Class A,GNCMA,Telecom,$1.30 
