Name,Ticker,Industry,Market Capitalization ($M)
United Parcel Service Inc Class B,UPS,Transportation,$95.35 
Union Pacific Corp,UNP,Transportation,$86.99 
Fedex Corp,FDX,Transportation,$57.64 
Csx Corp,CSX,Transportation,$49.46 
Southwest Airlines,LUV,Transportation,$37.46 
Norfolk Southern Corp,NSC,Transportation,$34.60 
American Airlines Group Inc,AAL,Transportation,$24.89 
United Continental Holdings Inc,UAL,Transportation,$23.01 
Alaska Air Group Inc,ALK,Transportation,$11.20 
Kansas City Southern,KSU,Transportation,$10.99 
Expeditors International Of Washin,EXPD,Transportation,$10.06 
Jb Hunt Transport Services Inc,JBHT,Transportation,$9.97 
Ch Robinson Worldwide Inc,CHRW,Transportation,$9.64 
Jetblue Airways Corp,JBLU,Transportation,$7.59 
Kirby Corp,KEX,Transportation,$3.65 
Landstar System Inc,LSTR,Transportation,$3.55 
Avis Budget Group Inc,CAR,Transportation,$2.35 
Matson Inc,MATX,Transportation,$1.29 
