Name,Ticker,Industry,Market Capitalization ($M)
NextEra Energy Inc,NEE,Utility,$65.33 
Duke Energy Corp,DUK,Utility,$58.05 
Dominion Resources Inc,D,Utility,$48.48 
Southern Co,SO,Utility,$47.03 
American Electric Power,AEP,Utility,$34.06 
PG&E Corporation,PCG,Utility,$33.99 
Exelon Corp,EXC,Utility,$33.22 
Sempra Energy,SRE,Utility,$28.38 
PPL Corp,PPL,Utility,$26.40 
Edison Intl,EIX,Utility,$25.67 
Consolidated Edison Inc,ED,Utility,$24.48 
Public Service Enterprise Grp,PEG,Utility,$21.58 
WEC Energy Group Inc,WEC,Utility,$19.18 
Eversource Energy,ES,Utility,$19.08 
DTE Energy Co,DTE,Utility,$19.01 
American Water Works Co Inc,AWK,Utility,$13.68 
Entergy Corp,ETR,Utility,$13.66 
Ameren Corp,AEE,Utility,$13.09 
CMS Energy Corp,CMS,Utility,$12.95 
FirstEnergy Corp,FE,Utility,$12.89 
Centerpoint Energy Inc,CNP,Utility,$11.67 
SCANA Corp,SCG,Utility,$9.55 
Pinnacle West Capital (AZ),PNW,Utility,$9.38 
Alliant Energy Corp,LNT,Utility,$9.11 
Nisource Inc,NI,Utility,$8.23 
AES Corp,AES,Utility,$7.25 
